index,Consignatario,Origen,Cntr 20,Cntr 40,Flete,Categoria,Origen_ALEMANIA,Origen_BRASIL,Origen_CANADA,Origen_CHILE,Origen_CHINA,Origen_COLOMBIA,Origen_COSTA RICA,Origen_ESPAÑA,Origen_MEXICO,Origen_PAKISTAN,Origen_PANAMA,Origen_TURQUIA,Origen_USA,Origen_VIETNAM DEL NORTE
0,TANQUE SAFETY COMPANY SAC,CHINA,0,1,4630.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,MOTORES DIESEL ANDINOS SA,CHINA,0,1,7000.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,IMPORTADORA INDUSTRIAL GALLEGOS SAC,CHINA,0,1,3425.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,AGROTEC ALDAIR SAC,CHINA,0,1,3200.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,FERVAL BABY CARE SAC,PANAMA,0,1,1450.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,FERVAL BABY CARE SAC,PANAMA,0,1,1450.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,QATU PERU SAC,CANADA,0,1,2550.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,WING KON EIRL,CHINA,0,1,5000.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,CORPORACION MARIN SAC,CHINA,0,1,3445.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,WING KON EIRL,CHINA,0,1,5650.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,INTERPAINTS SAC,COSTA RICA,0,1,850.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,WING KON EIRL,CHINA,0,1,6250.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,WING KON EIRL,CHINA,0,1,6750.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,CODELPA PERU SAC,CHILE,1,0,690.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,DUCASSE PERU SA,CHILE,0,1,3300.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,INVERSIONES ARTIKA SAC,CHINA,1,0,9640.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,WING KON EIRL,CHINA,0,1,6250.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,WING KON EIRL,CHINA,0,1,6750.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,TSK ELECTRONICA Y ELECTRICIDAD SA,ESPAÑA,0,1,1789.85,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,IMPORTACIONES MIRALDI SA,CHINA,0,1,6200.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,IMPORTACIONES MIRALDI SA,CHINA,0,1,7100.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,ZEN GLOBAL SOLUTIONS PERU SA,CHINA,0,1,6530.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,NEXUS TECHNOLOGY SAC,ESPAÑA,0,1,3281.16,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,TANQUE SAFETY COMPANY SAC,PAKISTAN,0,1,2775.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,SEIN SRL,CHINA,2,0,7750.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,WING KON EIRL,CHINA,0,1,6750.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,TANQUE SAFETY COMPANY SAC,CHINA,0,1,7515.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,IMPORTACIONES MIRALDI SA,CHINA,0,1,8050.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,MERCOSUR BUSINESS CORPORATION SA,PANAMA,0,1,1745.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,DEPPORT CN SAC,PANAMA,0,1,1010.77,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,FUBBALL PERU SA,PANAMA,0,0,733.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,ALK INGENIERIA Y SERVICIOS EIRL,PANAMA,0,0,929.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,FERVAL BABY CARE SAC,PANAMA,0,1,1450.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,CORPORACION COMERCIAL Y SERVICIOS OCOSHI SA,CHINA,0,1,7515.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,HYDRA INDUSTRIA Y COMERCIO SA,ALEMANIA,0,1,1950.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,INTERPAINTS SAC,COSTA RICA,0,1,950.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,CORPORACION COMERCIAL Y SERVICIOS OCOSHI SA,CHINA,0,1,8225.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,WING KON EIRL,CHINA,0,1,3200.0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,INVERSIONES ARTIKA SAC,CHINA,1,1,7665.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,MIA SOLAR SRL,CHINA,0,1,8275.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,BBVA BANCO CONTINENTAL,ESPAÑA,1,3,17282.42,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,IMPORTACIONES MIRALDI SA,CHINA,0,1,7700.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,HYDRA INDUSTRIA Y COMERCIO SA,CHINA,1,0,7900.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,IMPORTACIONES MIRALDI SA,CHINA,0,1,7550.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,INTERPAINTS SAC,COSTA RICA,0,1,850.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,INTERPAINTS SAC,COSTA RICA,0,1,850.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,INTERPAINTS SAC,COSTA RICA,0,1,850.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,FERVAL BABY CARE SAC,PANAMA,1,1,2375.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,SEIN SRL,CHINA,0,1,8450.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,HYDRA INDUSTRIA Y COMERCIO SA,BRASIL,0,1,1950.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,ONCH SERVICIOS Y SUMINISTROS INDUSTRIALES SA,CHILE,0,2,920.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,LESAFFRE PERU SAC,CHILE,0,1,2595.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,ONCH SERVICIOS Y SUMINISTROS INDUSTRIALES SA,CHILE,0,2,920.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,ONCH SERVICIOS Y SUMINISTROS INDUSTRIALES SA,CHILE,0,4,1840.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,IMPORTACIONES MIRALDI SA,CHINA,0,1,8400.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,ELECTRO FERRO CENTRO SAC,VIETNAM DEL NORTE,0,1,10050.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,LAMINADOS SAC,CHILE,2,0,1360.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,CORPORACION PERUANA DE PRODUCTOS QUIMICOS SA,MEXICO,1,0,421.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,CORPORACION COMERCIAL Y SERVICIOS OCOSHI SA,CHINA,0,1,8110.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
